Escenario,Altura,Presion,Presion_pred2
0,1801.49,32.79,25.666219512195113
0,1801.49,32.51,25.666219512195113
0,1801.48,32.67,26.03731958762887
0,1801.48,32.53,26.03731958762887
0,1801.48,32.62,26.03731958762887
0,1801.48,32.78,26.03731958762887
0,1801.47,30.1,28.920380952380896
0,1801.48,30.83,26.03731958762887
0,1801.48,31.26,26.03731958762887
0,1801.54,29.2,22.444208144796377
0,1801.54,22.26,22.444208144796377
0,1801.54,20.35,22.444208144796377
0,1801.55,21.36,21.888545454545458
0,1801.53,21.44,22.444208144796377
0,1801.53,21.36,22.444208144796377
0,1801.52,19.74,22.444208144796377
0,1801.47,30.04,28.920380952380896
0,1801.47,29.72,28.920380952380896
0,1801.48,31.24,26.03731958762887
0,1801.54,21.0,22.444208144796377
0,1801.47,29.46,28.920380952380896
0,1801.5,26.1,24.296799999999998
0,1801.43,27.21,27.7724703557313
0,1801.43,25.64,27.7724703557313
0,1801.43,27.68,27.7724703557313
0,1801.48,33.85,26.03731958762887
0,1801.51,24.84,22.444208144796377
0,1801.5,25.91,24.296799999999998
0,1801.5,24.8,24.296799999999998
0,1801.52,23.29,22.444208144796377
0,1801.52,23.57,22.444208144796377
0,1801.52,22.09,22.444208144796377
0,1801.52,22.9,22.444208144796377
0,1801.52,22.55,22.444208144796377
0,1801.52,22.63,22.444208144796377
0,1801.52,22.6,22.444208144796377
0,1801.52,23.04,22.444208144796377
0,1801.52,23.34,22.444208144796377
0,1801.55,20.7,21.888545454545458
0,1801.54,20.68,22.444208144796377
0,1801.54,22.13,22.444208144796377
0,1801.55,21.98,21.888545454545458
0,1801.52,22.83,22.444208144796377
0,1801.51,23.93,22.444208144796377
0,1801.51,26.1,22.444208144796377
0,1801.54,21.38,22.444208144796377
0,1801.54,21.15,22.444208144796377
0,1801.54,23.31,22.444208144796377
0,1801.54,24.98,22.444208144796377
0,1801.51,25.07,22.444208144796377
0,1801.47,33.95,28.920380952380896
0,1801.47,34.22,28.920380952380896
0,1801.49,32.82,25.666219512195113
0,1801.49,32.79,25.666219512195113
0,1801.47,33.0,28.920380952380896
0,1801.49,31.08,25.666219512195113
0,1801.49,31.01,25.666219512195113
0,1801.5,31.01,24.296799999999998
0,1801.47,30.47,28.920380952380896
0,1801.47,29.74,28.920380952380896
0,1801.47,29.39,28.920380952380896
0,1801.52,19.36,22.444208144796377
0,1801.47,32.7,28.920380952380896
0,1801.47,31.72,28.920380952380896
