ID,X,Y,Longitud_WGS84,Latitud_WGS84,Longitud_NAD27,Latitud_NAD27
1110,271089.98,2227129.94,-101.19027657130482,20.1308219798096,-101.19002328937744,20.1296140331586
1059,270859.99,2227251.91,-101.19249074188782,20.13189601866046,-101.19223749231708,20.13068806780147
1113,271075.66,2227098.0,-101.19040945923572,20.130531862580426,-101.19015617820897,20.12932391515078
1077,271044.08,2227026.87,-101.19070242925734,20.129885811627684,-101.19044915019722,20.1286778624718
363,271477.23,2227539.03,-101.18662565215594,20.13456201143593,-101.18637233305476,20.133354079896677
1305,271312.65,2226730.53,-101.18809754988034,20.12724177471944,-101.18784422870549,20.126033828460912
1304,271313.86,2226725.99,-101.18808541153307,20.127200922378798,-101.18783209007822,20.12599297609139
1306,271317.55,2226731.49,-101.18805082516879,20.127251024961105,-101.18779750340488,20.126043078838656
1302,271329.65,2226641.63,-101.1879238566225,20.12644103015609,-101.18767053080704,20.12523308316327
1272,271528.63,2226684.8,-101.18602698080862,20.126854454077172,-101.18577363119176,20.12564651266413
1187,271692.97,2227002.39,-101.18449568620254,20.129741757005593,-101.18424232486164,20.128533823888205
1150,271371.98,2227052.14,-101.18757074032578,20.13015293490355,-101.18731742074782,20.12894499434644
1297,271425.85,2226631.71,-101.18700291713196,20.126362865780322,-101.18674957894264,20.12515492108248
1293,271468.04,2226794.9,-101.1866200609513,20.127841467158518,-101.18636672205184,20.126633525658747
1286,271479.96,2226850.43,-101.18651307423806,20.128344313954642,-101.18625973540324,20.127136373481616
1279,271494.97,2226917.17,-101.18637795291589,20.12894875291291,-101.18612461407275,20.127740813691094
1281,271498.06,2226928.29,-101.18634980750124,20.12904953240533,-101.18609646858263,20.12784159340682
1149,271385.27,2227067.31,-101.1874455876821,20.13029149610648,-101.1871922668602,20.129083556082765
5621,271682.26,2227749.48,-101.18469182752179,20.13648667822148,-101.1844384885602,20.135278754601064
5620,271702.43,2227761.32,-101.18450047099563,20.13659598375485,-101.18424712983048,20.13538806079757
355,271697.64,2227468.01,-101.1845094590651,20.133946839839677,-101.18425611024408,20.132738912928247
1139,271670.78,2227319.88,-101.18474767019762,20.13260604892412,-101.1844943205843,20.13139811939925
5614,271658.61,2227245.45,-101.18485468254163,20.131932506823507,-101.18460133236336,20.130724576018785
1169,271658.35,2227238.32,-101.1848562735519,20.131868092416493,-101.18460292320565,20.130660161511997
1164,271640.71,2227164.91,-101.1850157093567,20.131203112495278,-101.18476235916212,20.129995180186334
5613,271445.35,2227215.69,-101.1868898315345,20.131638487312188,-101.18663650733636,20.13043055074297
1143,271430.92,2227191.47,-101.1870247478917,20.1314180701368,-101.18677142482602,20.13021013288717
1145,271442.6,2227216.45,-101.18691621849543,20.131645023825918,-101.18666289466448,20.130437087197315
362,271480.5,2227537.9,-101.18659424664818,20.13455219553563,-101.18634092710391,20.13334426406405
1117,271168.12,2227083.22,-101.18952364064118,20.130409383927763,-101.18927034757212,20.129201438636773
5604,271298.23,2227066.8,-101.18827766578846,20.130276561056377,-101.1880243558968,20.12906861883155
5603,271374.16,2227062.62,-101.18755121517195,20.13024782737823,-101.18729789561498,20.129039887013096
1340,271053.1,2226668.71,-101.19057113986013,20.12665272530352,-101.19031784957542,20.1254447716924
1334,271169.61,2226657.18,-101.18945582875115,20.126562448617946,-101.18920252349402,20.12535449779389
1326,271244.96,2226649.85,-101.18873454472423,20.126505205058887,-101.1884812297876,20.125297256038664
1257,271605.85,2226614.59,-101.18527992750609,20.126229614259916,-101.18502656620444,20.12502167387409
1252,271702.42,2226606.64,-101.18435569893983,20.126169268681707,-101.1841023252731,20.12496133062492
1240,271783.49,2226599.85,-101.18357979960227,20.126117557460308,-101.1833264155518,20.12490962135694
1223,272043.57,2226575.9,-101.18109037299783,20.125932071226092,-101.180836955574,20.12472414135936
5538,271081.26,2227097.04,-101.19035579991774,20.130523859226038,-101.1901025181598,20.129315911925094
5537,271034.46,2226991.6,-101.19078996293128,20.12956618307464,-101.19053668408694,20.128358233215074
1284,271375.12,2227057.1,-101.18754134364335,20.13019809601276,-101.1872880238102,20.128990155599645
5533,271194.9,2226654.72,-101.18921374151766,20.12654323784642,-101.1889604330118,20.125335287627816
5523,271040.0,2227028.74,-101.19074167102046,20.1299022127516,-101.19048839252603,20.12869426351724
1246,271903.25,2226840.37,-101.18246500766976,20.12830362588134,-101.18221161532846,20.127095695942025
1196,272102.95,2226857.82,-101.18055798523508,20.1284848282491,-101.1803045682739,20.12727690356753
1207,271954.14,2226800.61,-101.18197349841903,20.127950617381707,-101.18172009856023,20.1267426882039
1197,272077.76,2226857.06,-101.18079871637278,20.12847498601635,-101.18054530255776,20.127267060690507
1172,271853.47,2227190.26,-101.18298478752054,20.13145722878643,-101.18273141128424,20.13024930217013
1244,271839.06,2226840.34,-101.18307868400011,20.12829575544138,-101.1828252997292,20.127087823884747
1245,271912.72,2226822.92,-101.1823722840825,20.12814717379692,-101.18211889005951,20.1269392438678
1225,271960.36,2226735.28,-101.18190584772846,20.12736142497372,-101.18165244524984,20.126153495097636
1243,271819.71,2226757.98,-101.18325335155376,20.127549755794554,-101.18299996739847,20.12634182267286
1226,271899.3,2226704.04,-101.18248568554333,20.12707210178144,-101.18223228986326,20.125864169958664
1232,271882.96,2226629.41,-101.18263254762074,20.12639626050829,-101.18237915189565,20.125188327297263
1228,271888.75,2226655.78,-101.18258049849351,20.126635066343294,-101.18232710278228,20.125427133623223
1230,271854.2,2226652.28,-101.18291036705398,20.126599371386984,-101.18265697558832,20.12539143775088
1231,271882.04,2226646.2,-101.18264344727042,20.12654776489388,-101.18239005213336,20.12533983187942
1229,271856.51,2226662.84,-101.18288960644172,20.1266950013888,-101.1826362149827,20.12548706794908
5506,271897.49,2226695.74,-101.1825019495126,20.12699693873374,-101.1822485538266,20.12578900675676
1224,271983.39,2226684.27,-101.1816792833235,20.126903530873722,-101.18142587651434,20.125695600910035
1324,271240.07,2226712.55,-101.18878917436459,20.127070801704175,-101.18853586180848,20.125862853380735
1308,271306.69,2226788.97,-101.18816187203129,20.12776877717171,-101.1879085532514,20.126560831527268
1323,271220.54,2226772.87,-101.18898346808547,20.1276131689441,-101.18873015968362,20.12640522091716
1255,271615.93,2226664.4,-101.18518981014722,20.12668059118808,-101.18493644898015,20.125472651707984
1250,271732.28,2226742.48,-101.18408726616899,20.127399436476495,-101.18383389257052,20.12619150094946
1249,271759.27,2226856.95,-101.1838435884693,20.12843629376249,-101.18359021469854,20.127228360413078
1186,271685.18,2227024.28,-101.1845729083721,20.12993849976363,-101.18431954862687,20.12873056673624
1292,271382.02,2226796.51,-101.18744264136487,20.127845801702122,-101.18718931332609,20.12663785805524
1291,271364.18,2226792.64,-101.18761271116318,20.127808739161384,-101.18735938525847,20.126600795014188
1289,271311.65,2226855.79,-101.18812284891499,20.128372746464926,-101.1878695313932,20.12716480181938
1288,271361.24,2226905.19,-101.187654957608,20.1288247104532,-101.18740163524222,20.127616767703824
1184,271784.59,2226966.46,-101.18361525216336,20.12942816446179,-101.18336187829055,20.128220233182883
347,271814.19,2227814.67,-101.18343864087656,20.137090976005872,-101.18318528715623,20.135883056562623
351,271695.86,2227606.0,-101.18454379334567,20.13519267248056,-101.18429044863356,20.133984747327904
1134,271490.55,2227278.54,-101.1864655876135,20.132211381177125,-101.18621225950125,20.13100344656898
1140,271761.6,2227301.28,-101.18387704142978,20.13244885373295,-101.18362367987147,20.13124092625363
5495,271573.9,2227422.16,-101.18568674326832,20.133518147341555,-101.18543340871835,20.132310216711883
5494,271720.57,2227111.89,-101.18424555384934,20.130733808056295,-101.18399219211987,20.129525877066484
5493,271778.73,2227097.17,-101.1836876685159,20.13060777718274,-101.18343429905852,20.12939984746588
1161,271515.88,2227122.59,-101.18620383620278,20.130806164981028,-101.185950500514,20.129598228972515
