Sector,Escenario,Hora,IdTubo,Caudal,Velocidad,PerUni,Estado
Sur,E0,00:00:00,10114F,-0.02,0.00,0.00,0.0
Sur,E0,00:00:00,102E33,0.43,0.10,0.17,0.0
Sur,E0,00:00:00,102E34,0.39,0.09,0.14,0.0
Sur,E0,00:00:00,10452C,0.04,0.01,0.00,0.0
Sur,E0,00:00:00,1085B4,-0.14,0.02,0.01,0.0
Sur,E0,00:00:00,111CAC,0.09,0.04,0.07,0.0
Sur,E0,00:00:00,114C09,0.01,0.00,0.00,0.0
Sur,E0,00:00:00,116351,0.43,0.10,0.17,0.0
Sur,E0,00:00:00,119354,0.07,0.02,0.01,0.0
Sur,E0,00:00:00,11C5B4,2.51,0.14,0.15,0.0
Sur,E0,00:00:00,11C71F,11.02,0.62,2.45,0.0
Sur,E0,00:00:00,11D2EE,0.05,0.01,0.00,0.0
Sur,E0,00:00:00,11E1F6,-0.25,0.13,0.45,0.0
Sur,E0,00:00:00,16169531,0.04,0.02,0.00,0.0
Sur,E0,00:00:00,3397,0.02,0.00,0.00,0.0
Sur,E0,00:00:00,33E9,-1.23,0.28,1.21,0.0
Sur,E0,00:00:00,33EC,-0.04,0.01,0.00,0.0
Sur,E0,00:00:00,33F5,0.03,0.01,0.00,0.0
Sur,E0,00:00:00,33F7,0.06,0.01,0.01,0.0
Sur,E0,00:00:00,33FF,0.08,0.02,0.01,0.0
Sur,E0,00:00:00,340A,-0.32,0.07,0.10,0.0
Sur,E0,00:00:00,3445,0.01,0.00,0.00,0.0
Sur,E0,00:00:00,3679,0.02,0.00,0.00,0.0
Sur,E0,00:00:00,3AB6,-2.91,0.37,1.49,0.0
Sur,E0,00:00:00,3AC1,2.73,0.35,1.32,0.0
Sur,E0,00:00:00,3C923,0.54,0.07,0.07,0.0
Sur,E0,00:00:00,68159,0.91,0.21,0.70,0.0
Sur,E0,00:00:00,68536,-0.00,0.00,0.00,0.0
Sur,E0,00:00:00,68544,-11.03,0.62,2.43,0.0
Sur,E0,00:00:00,68E7C,-11.06,0.63,2.44,0.0
Sur,E0,00:00:00,690BD,-11.08,0.63,2.45,0.0
Sur,E0,00:00:00,690CC,-11.09,0.63,2.45,0.0
Sur,E0,00:00:00,691C4,0.03,0.00,0.00,0.0
Sur,E0,00:00:00,69366,-0.07,0.01,0.00,0.0
Sur,E0,00:00:00,69393,0.18,0.04,0.03,0.0
Sur,E0,00:00:00,6939C,0.07,0.02,0.00,0.0
Sur,E0,00:00:00,693BE,-0.07,0.02,0.01,0.0
Sur,E0,00:00:00,76306,0.04,0.02,0.04,0.0
Sur,E0,00:00:00,76307,0.01,0.01,0.00,0.0
Sur,E0,00:00:00,76308,-0.02,0.01,0.00,0.0
Sur,E0,00:00:00,76309,0.04,0.02,0.02,0.0
Sur,E0,00:00:00,7630A,-0.04,0.02,0.02,0.0
Sur,E0,00:00:00,7630B,-0.02,0.01,0.00,0.0
Sur,E0,00:00:00,7630C,0.22,0.11,0.37,0.0
Sur,E0,00:00:00,7630D,0.15,0.08,0.18,0.0
Sur,E0,00:00:00,7630E,-0.18,0.09,0.26,0.0
Sur,E0,00:00:00,7630F,-0.01,0.00,0.00,0.0
Sur,E0,00:00:00,76313,0.02,0.01,0.01,0.0
Sur,E0,00:00:00,76347,0.15,0.08,0.19,0.0
Sur,E0,00:00:00,76348,-0.01,0.01,0.00,0.0
Sur,E0,00:00:00,76349,0.13,0.06,0.13,0.0
Sur,E0,00:00:00,7634A,0.02,0.01,0.01,0.0
Sur,E0,00:00:00,7634B,-0.10,0.05,0.08,0.0
Sur,E0,00:00:00,7634C,0.19,0.10,0.27,0.0
Sur,E0,00:00:00,7634D,-0.11,0.06,0.10,0.0
Sur,E0,00:00:00,7634E,0.04,0.02,0.02,0.0
Sur,E0,00:00:00,7634F,-0.02,0.01,0.00,0.0
